EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
853	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS - Rep 3	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
854	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS with DHT treatment	Protein	Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
855	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS with DHT treatment - Rep 1	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
856	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS with DHT treatment - Rep 2	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
857	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Prostate cancer cells	cl	DUCaP - in CSS with DHT treatment - Rep 3	Protein	Mass spectrometry	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
858	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Plasma	ts	Plasma - prostrate cancer patients	Protein	Time-resolved fluorescence immunoassay	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
859	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer	Plasma	ts	Plasma - benign prostate hyperplasia patients	Protein	Time-resolved fluorescence immunoassay	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
860	25776846	Homo sapiens	Human thymic epithelial primary cells produce exosomes carrying tissue-restricted antigens	Epithelial cells 	ts	Thymic tissue	Protein	FACS	2015	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
861	25776846	Homo sapiens	Human thymic epithelial primary cells produce exosomes carrying tissue-restricted antigens	Epithelial cells 	ts	Thymic tissue - culture 1	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
862	25776846	Homo sapiens	Human thymic epithelial primary cells produce exosomes carrying tissue-restricted antigens	Epithelial cells 	ts	Thymic tissue - culture 2	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
863	22046311	Mus musculus	Exosomes from Plasmodium yoelii-infected reticulocytes protect mice from lethal infections	Plasma	ts	Peripheral blood plasma - P. yoelii 17X infected	Protein	FACS|Mass spectrometry	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
864	22046311	Mus musculus	Exosomes from Plasmodium yoelii-infected reticulocytes protect mice from lethal infections	Plasma	ts	Peripheral blood plasma - P. yoelii 17X infected	Protein	FACS	2011	Differential centrifugation|Filtration|Sucrose density gradient|Ultracentrifugation	Exosomes
865	22046311	Mus musculus	Exosomes from Plasmodium yoelii-infected reticulocytes protect mice from lethal infections	Reticulocytes	ts	Peripheral blood plasma - P. yoelii 17X infected	Protein	FACS	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
866	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - pregnant - Rep 1	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
867	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - pregnant - Rep 2	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
868	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - pregnant - Rep 3	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
869	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - pregnant - n=4 pooled	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
870	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - cyclic - Rep 1	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
871	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - cyclic - Rep 2	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
872	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - cyclic - Rep 3	Protein	Western blotting	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
873	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - cyclic - n=4 pooled	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
874	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - pregnant	miRNA	RNA sequencing	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
875	24614226	Ovis aries	Extracellular vesicles in luminal fluid of the ovine uterus	Uterine luminal fluid	ts	Uterine luminal fluid - cyclic	miRNA	RNA sequencing	2014	Differential centrifugation|Filtration|ExoQuick	Extracellular vesicles
876	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Embryonic kidney cells 	cl	HEK293T - control siRNA transfected	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
877	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Embryonic kidney cells 	cl	HEK293T - SphK1 siRNA transfected	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
878	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Embryonic kidney cells 	cl	HEK293T - SphK2 siRNA transfected	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
879	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - control siRNA transfected	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
880	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - co-transfected with SphK2 siRNA and empty vector	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
881	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - co-transfected with SphK2 siRNA and siRNA-resistant WT SphK2 	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
882	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - co-transfected with SphK2 siRNA and mutant SphK2 (G248D)	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
883	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
884	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - DMS treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
885	29955024	Homo sapiens	Essential Role of Sphingosine Kinase 2 in the Regulation of Cargo Contents in the Exosomes from K562 Cells	Myeloid leukemia cells	cl	K562 - HACPT treated	Protein	Western blotting	2018	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
886	25102470	Homo sapiens	Examination of the specificity of tumor cell derived exosomes with tumor cells in vitro	Breast cancer cells	cl	MCF-7	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
887	25102470	Homo sapiens	Examination of the specificity of tumor cell derived exosomes with tumor cells in vitro	Prostate cancer cells	cl	PC3	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
888	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
889	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - Rep 1	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
890	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - Rep 2	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
891	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - Rep 3	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
892	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - gefitinib-resistant	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
893	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - gefitinib-resistant - Rep 1	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
894	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - gefitinib-resistant - Rep 2	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
895	24946052	Homo sapiens	Extracellular vesicles shed from gefitinib-resistant nonsmall cell lung cancer regulate the tumor microenvironment	Lung cancer cells	cl	PC9 - gefitinib-resistant - Rep 3	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
896	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	ts	CLL cells - Fraction 6	Protein	Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
897	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	ts	CLL cells - Fraction 7	Protein	Western blotting	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
898	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	ts	CLL cells	miRNA	RNA sequencing	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
899	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	ts	CLL cells - Rep 1	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
900	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	ts	CLL cells - Rep 2	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
901	26100252	Homo sapiens	Exosomes released by chronic lymphocytic leukemia cells induce the transition of stromal cells into cancer-associated fibroblasts	Chronic lymphocytic leukemia cells	cl	JVM-3	Protein	Mass spectrometry	2015	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
